Symbol,Name,Current Price,Previous Close,Market Cap,PER (Trailing),PBR,Dividend Yield,Currency
7203.T,Toyota Motor Corporation,3670.0,3714.0,47832530681856,10.384245,1.2758024,2.59,JPY
6758.T,Sony Group Corporation,3852.0,3904.0,22989020069888,19.267708,2.9949455,0.65,JPY
